contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.12307692307692307,0.03971718597875836,0.00974985856706211,0.05700476212749289,0.022380838707181893,0.03553157921864424,0.025772599074323957,0.022759763951499
10-19,0.04360738509079484,0.3282442748091603,0.0372885223497991,0.02370709961313949,0.027261154225467397,0.04607296342413084,0.00880182372401574,0.010097680742670615
20-29,0.011311483363678787,0.03940168951594115,0.5549597855227882,0.24477520570818162,0.09210917497479555,0.1364555132643505,0.08535103174604557,0.15931498349027876
30-39,0.07358519838820979,0.02787251624838194,0.2723488251931702,0.2776998597475456,0.16707344487943673,0.18399882958845937,0.16195215144726202,0.18102239988876043
40-49,0.03735109891081066,0.041437132258911054,0.13249780186334145,0.2160006840154421,0.1391891891891892,0.18243910390476578,0.13963351125413173,0.198131099844454
50-59,0.06416796752624453,0.07578239836318083,0.21240934279761065,0.2574183524392305,0.19742160451686686,0.2582781456953643,0.14109419198869724,0.21268398051813697
60-69,0.036386084800709706,0.011317961221548553,0.10386390326013453,0.17712689270301324,0.1181244344382854,0.11030176785744901,0.13380281690140844,0.12622234365746954
70+,0.04316284114647363,0.0174414397208248,0.2604219868403838,0.26594710141321726,0.2251478967763479,0.22334347908709276,0.1695514079843686,0.21182266009852216
