contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.044897959183673466,0.02973985064869928,0.014451304801032133,0.08386607635984714,0.01919755564957041,0.016805149817268952,0.018503616422704407,0.023934181459054106
10-19,0.03265279469885286,0.3879003558718861,0.021639777617924415,0.06388101579518456,0.026237052583540296,0.032400818029568165,0.013084576167152293,0.011131182713596888
20-29,0.016765955394733783,0.022866119255059842,0.623268698060942,0.19642117199285436,0.13003331255275985,0.11302299018442753,0.0797198944085173,0.11615549221020043
30-39,0.10825940915563857,0.0751051237717659,0.21854777031255265,0.26913265306122447,0.14288080472547765,0.14926541206051425,0.17006238007482072,0.1567016221009873
40-49,0.03203855804040082,0.03988049108252764,0.18705116061417384,0.18472326093264443,0.12448132780082986,0.21061485031203084,0.2376089930538562,0.1937463874184289
50-59,0.03034912411611448,0.053293982342877425,0.17593381529104551,0.20882554815549978,0.22791123609873576,0.27466367713004486,0.16191613044493133,0.15585740324326494
60-69,0.02612364218039146,0.01682500471534815,0.09701135687956115,0.18599704097256733,0.20100782161708142,0.1265795223813603,0.12482662968099861,0.11151166633636295
70+,0.04539006970764243,0.019226578584553303,0.18987193420918197,0.2302164937052878,0.22016529292736256,0.1636688132177509,0.14979091249740542,0.15123456790123457
