contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.10980392156862746,0.021235315496015646,0.011289893876578973,0.07199124733123478,0.02715164970155811,0.046664704444595174,0.020494949050339127,0.03667080811704955
10-19,0.023315261581083102,0.2809917355371901,0.033898707692003975,0.01293231330952629,0.02382958104571118,0.024109853934456957,0.019069424078713402,0.060394100163545364
20-29,0.013098184541265925,0.03581977164292709,0.40760869565217395,0.2159681940994122,0.1274492287732232,0.09810948340097772,0.09938745953033482,0.13207601745287897
30-39,0.0929306608671674,0.015204563980030578,0.24029673990832418,0.32275862068965516,0.22674440472280588,0.16886135811532388,0.1610876257501799,0.24720172720222622
40-49,0.04531304509464815,0.03622111864005804,0.18333399106279083,0.29314620616186476,0.16600265604249667,0.1635494500284923,0.23885823455393598,0.21776510347384767
50-59,0.08427374480026943,0.03965671881184377,0.15271915654330054,0.23624070160620156,0.17698066999567538,0.3406352683461117,0.13400744980854662,0.16970055905300238
60-69,0.028935031037471165,0.024520714002855958,0.12094487050424553,0.1761813618840792,0.2020646305761084,0.10476163768055849,0.11901504787961696,0.08416210027075839
70+,0.06954449390784558,0.10431702926045779,0.21589619585996273,0.3631737445430632,0.2474591574816465,0.17820577351235944,0.11305290478960492,0.15625
