contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.12110726643598617,0.04402823359630507,0.006895773098656656,0.059082106714448766,0.024006406762240178,0.040616541492584236,0.024151808303018427,0.011671849877898351
10-19,0.04834068904902732,0.3629032258064516,0.023178807947019864,0.014634150527363015,0.047700577840903945,0.019425711132068,0.010322736253361586,0.03432117171758005
20-29,0.008000261967765382,0.024492367530971004,0.592696629213483,0.32008598293738366,0.09882507803557783,0.12638191972009558,0.08995630560567436,0.15217505934471315
30-39,0.07626676055682198,0.01720541968487458,0.3561432668867888,0.24965893587994542,0.19458170819444884,0.12633790414427118,0.19832767581283864,0.1953855682599792
40-49,0.04006398889697782,0.07250518948950077,0.14215853754276137,0.25156470615197746,0.15041782729805014,0.1632127450646819,0.1970270737095606,0.19422466416181744
50-59,0.07335111393407846,0.03195207926927972,0.19672858843922703,0.17674946741880534,0.17661631371030936,0.2617230098146129,0.12745006166043585,0.1285322792544141
60-69,0.034097831672693445,0.013273650129693384,0.10946807357720949,0.21691076432027578,0.16667712100008908,0.09963533520793764,0.1407702523240372,0.11277348170876116
70+,0.022135124214767335,0.05928199384742382,0.2487508107140574,0.2870485949177943,0.2207087866188401,0.13497418260528832,0.15148587843455372,0.16373056994818652
