contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.21011673151750973,0.009462023815614558,0.05068032094573084,0.11216414523674237,0.04731347132626386,0.04422666864779348,0.008341684340425799,0.013556915658786814
10-19,0.01038880540243841,0.42366412213740456,0.03428431059036297,0.03978686212723874,0.014628671312756629,0.04763235785645458,0.005931916149765553,0.03479601895497775
20-29,0.05879773571077322,0.03622722693265567,0.48533333333333334,0.22972278361788134,0.0864165758322376,0.11385250380562358,0.0913489124282868,0.06399621016981247
30-39,0.14478826980858525,0.04677754677754678,0.2556007666602631,0.2985714285714286,0.1785915952961802,0.12712302882865326,0.10101222002483716,0.17430180935247258
40-49,0.07896085443634412,0.022235675824486902,0.12430907502386576,0.23089190967015147,0.14500683994528044,0.14205887421484242,0.1360887467435709,0.21498850629009264
50-59,0.07987079381195808,0.07834734407739094,0.17722505255148935,0.17784787387696077,0.15372521725382873,0.2964930924548353,0.15508662894009484,0.18848657587358042
60-69,0.011776896575940199,0.007627646162617477,0.11116274061689554,0.11047695568193072,0.11512570369474039,0.12124049262435287,0.12640449438202248,0.12838440146111793
70+,0.025710064404152872,0.06010218411474671,0.10461050076745783,0.2560736184961353,0.2443039485487311,0.1979333258398783,0.17245564771031577,0.24675324675324675
