contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.08368200836820085,0.028564732491003747,0.016840812670945372,0.07035157722437457,0.03155278373622155,0.03300047701134369,0.01348786131283002,0.016617679478100878
10-19,0.03136257665427083,0.2756183745583039,0.021151739449853726,0.019497728323131784,0.028218634272664484,0.018904714565073477,0.005895598295787397,0.03328114515135362
20-29,0.019538188277087035,0.022350423615799586,0.7191358024691358,0.14335712256474098,0.09888100311684599,0.06881912745595856,0.1290129293409998,0.10914541312296853
30-39,0.09081407541708385,0.022923544354275363,0.1595061223648907,0.22802197802197804,0.14387211671560554,0.20116133804262518,0.15328410702860099,0.18271567147500653
40-49,0.05265804207171399,0.04289250817670361,0.14223898501543808,0.18600487733850027,0.16015625,0.15111086705607701,0.16041969706638232,0.19661475575689846
50-59,0.0595969440081442,0.031095126157269785,0.10712521088471198,0.2814290739197808,0.16352058958653096,0.2960526315789474,0.1572016135186531,0.17518042403449074
60-69,0.019042335004457376,0.007580946288152472,0.15699618549720704,0.16764666190664068,0.1357087264978934,0.12289390255369217,0.13199426111908177,0.1299454064512846
70+,0.03151466162236022,0.05748558523388539,0.17841300747291206,0.26843475305491593,0.2234247867629759,0.1839602835930506,0.17455250779296186,0.16050583657587547
