contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.08846153846153847,0.021085208410435884,0.012255119604147664,0.05069657978710176,0.021628907546372308,0.026612888542708883,0.04674855419469815,0.022894861458512102
10-19,0.023150451881593453,0.3092369477911647,0.0047369270343307675,0.015669491497288895,0.023681369281003777,0.03479537828722398,0.017375594669803134,0.05674278753167736
20-29,0.014218009478672985,0.005005372069064421,0.7882037533512064,0.2383195013176526,0.07091046389711625,0.0870307625201605,0.10349438550619937,0.08975042736837394
30-39,0.06544221468540071,0.018422673523504445,0.2651658938114228,0.17647058823529413,0.29008918597055644,0.1553280250910171,0.2131009518955086,0.14445259352331777
40-49,0.03609621049804948,0.03599583579085388,0.10200374281985138,0.3750414234909635,0.12112676056338029,0.17024783535287016,0.16910731991026545,0.2266363297900584
50-59,0.048061330381061175,0.05723263759454441,0.13547380115209892,0.21730727524734722,0.18422914880371213,0.2768729641693811,0.16193125888963886,0.1605204813158551
60-69,0.06600020635611735,0.02234267724967062,0.12594259992271262,0.23306828037784535,0.14305811222793574,0.12659134919132783,0.16353111432706222,0.14436143263300857
70+,0.043419047328880335,0.09801021972730463,0.146709268036121,0.21222096581834848,0.25754004810654024,0.16856559988428693,0.19391720556219214,0.13984674329501917
