contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.11111111111111112,0.02002308037483557,0.015809015887997352,0.04174306075624258,0.030870426968287228,0.04887634718653049,0.02465464945635729,0.017831172683262057
10-19,0.021984291059199756,0.36,0.03070232564463065,0.026243441936507753,0.018620300645966283,0.03240649808575122,0.015050790726024112,0.03177983304841573
20-29,0.018341129666981405,0.03244224834437754,0.4975124378109453,0.17869521375239636,0.17656131014568785,0.08674442510049526,0.06773796313549936,0.11699204619855526
30-39,0.05388447021687974,0.0308545023948593,0.1988250051401381,0.14509246088193456,0.11345720161370582,0.17527519168502462,0.13139489752414818,0.16018604919671406
40-49,0.051519265484069966,0.028302978450075622,0.25398105557689316,0.14668299425275488,0.12890625,0.14568548804026618,0.18643395664267412,0.2563284165941132
50-59,0.08826784308593451,0.05330332509507739,0.13502808267818406,0.2452137938482804,0.1576496605615088,0.2583148558758315,0.14067582811173474,0.17658399373995554
60-69,0.034807749240336146,0.01935329212808476,0.0824305120420531,0.14370645716961655,0.15771576243203625,0.10997470779504506,0.15481832543443916,0.11895166505991746
70+,0.03381599543928003,0.05489241109688939,0.1912393953667818,0.2353356020960928,0.29128089394084866,0.18543419874357608,0.1597848820469157,0.12367149758454106
