contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.1037344398340249,0.026177236213272566,0.01729652332090406,0.0958734157877231,0.028544350691032994,0.05636208368915457,0.032863431637482295,0.03245271767882007
10-19,0.028741231082569332,0.2543554006968641,0.030556229335593824,0.031189815451094272,0.030705939424889313,0.03374100995869873,0.013759606800428223,0.03241945345507574
20-29,0.020066889632107024,0.032287872653270946,0.6918767507002801,0.17820259397797023,0.13553997897094203,0.15608238621880183,0.10781373307671664,0.12180896918696277
30-39,0.12375920989050897,0.036669970267591674,0.19827689236685409,0.2493074792243767,0.20522601770129978,0.1767766127647086,0.19334609081869933,0.14375508680755583
40-49,0.047637306177606024,0.046673228233843594,0.19497242574550816,0.26532618773279365,0.1844262295081967,0.14463542381910732,0.13823594064925104,0.1697273782891369
50-59,0.10178664825512206,0.05549837622398164,0.24296092027290755,0.2473143144956901,0.15651336160503537,0.22688172043010754,0.11305051450560095,0.18038003633104135
60-69,0.04639701284900864,0.01769300329954255,0.1311988257589268,0.21146241020541742,0.11694214491619033,0.0883783480482378,0.13636363636363638,0.11886312512199083
70+,0.061545080209411004,0.05599720942150146,0.19911331047266853,0.21119623136898127,0.1928710953361843,0.18942049501746774,0.15966594849915142,0.16050583657587547
