contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.07722007722007722,0.012968784639938995,0.009442259601109077,0.1129793275724477,0.017839146469795807,0.03303661325717001,0.010534592119333724,0.023878445066623375
10-19,0.01423904468599224,0.2621722846441948,0.016752868386493373,0.027654915488377663,0.005236950554013598,0.024332879919372597,0.015579826651968467,0.03419376746826187
20-29,0.010954616588419406,0.017702265390776323,0.7421052631578947,0.22796419691925557,0.08931596916286604,0.11026671203032797,0.09220607079511664,0.09544962909597832
30-39,0.14584055652388253,0.03251397656718069,0.2536440773788247,0.2348901098901099,0.22751526156820615,0.1376444454505325,0.15885247045601975,0.17016193850281516
40-49,0.029771526125335335,0.007960199004975124,0.12847981309801115,0.29414280742309207,0.12059620596205962,0.17958586183102912,0.18213694451605353,0.19277361783570995
50-59,0.059662203968430076,0.04002355963948122,0.17164333836362733,0.19256756387818874,0.19433404479849548,0.46255506607929514,0.15824053728683424,0.14513826669787283
60-69,0.014872871808138339,0.02003356115895697,0.1122058189707217,0.17373677495871068,0.15408065992209707,0.12370609139494995,0.1295774647887324,0.13918015633800462
70+,0.045284368213651026,0.05906193207370682,0.15602538761753781,0.24999157200151348,0.2190598782510744,0.15241244476430588,0.18695732298103898,0.17391304347826086
