contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0653061224489796,0.02807117560721195,0.008579171100210304,0.06896576056495937,0.015654956845564026,0.014241781911790275,0.029569503428826773,0.016132107470908624
10-19,0.030820677107126868,0.4028268551236749,0.0308848060347919,0.008707235687405163,0.023222755279610797,0.01256424554312414,0.013915591252053345,0.040120111959924404
20-29,0.009953288091995817,0.03263507002844516,1.0358974358974362,0.17750530060644493,0.12253870493139984,0.12775656140672312,0.07316400700466659,0.11595394749688774
30-39,0.08902517936687875,0.010237126098764983,0.197501049772828,0.279887482419128,0.14386055494460862,0.16702739926984547,0.16892082876806422,0.18447615083162405
40-49,0.026126359661199725,0.03529873951700073,0.17627026896108747,0.1859899297180357,0.10569105691056911,0.13384066344855133,0.15752145130928075,0.3637041867629388
50-59,0.02571983062188489,0.020666104155635065,0.19886838279603763,0.23367495341367056,0.14483209992857646,0.49209932279909707,0.13334348862290893,0.149339517236164
60-69,0.04174660290075497,0.017893578320130693,0.08903347962174543,0.18474852754424967,0.13325692507969583,0.10424257951429158,0.13654618473895583,0.131801442864528
70+,0.03059379673745735,0.069298340101481,0.1895424819911408,0.27102114226574253,0.4132982291155431,0.15682425758374127,0.17704567641918906,0.1787538304392237
