contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.08424908424908426,0.036832412523020254,0.01113611874681726,0.07147518310868867,0.01775774325146646,0.025355790598437677,0.023891356424636107,0.03477102123995117
10-19,0.040440055284213024,0.4148148148148148,0.05287478507130651,0.016369479828467835,0.04454253565663678,0.038487443375805695,0.005098918174889701,0.03260076321010193
20-29,0.012919779407480349,0.055871236866348074,0.46091644204851756,0.20485221431479825,0.12712983684316478,0.12516509544950954,0.07628851248969742,0.12096864958874039
30-39,0.09226449392286579,0.019245652143953202,0.2279285589626613,0.21994535519125682,0.1982273805034159,0.11926534966228813,0.1403049094666459,0.15066366386893956
40-49,0.029635673322888658,0.06770494476815113,0.182874550093124,0.2562780088135781,0.11898016997167138,0.1438710628736732,0.2408256743288619,0.17882356837346775
50-59,0.04579108453668349,0.0633054735167753,0.1948344557843254,0.1668548103366879,0.15568622881909272,0.3776824034334764,0.17569825095583505,0.12645409317699594
60-69,0.033730122381674964,0.0065565228280806175,0.09283569886613129,0.1534513275848471,0.2037290069039481,0.13735383020899125,0.15292353823088453,0.09495261620578196
70+,0.06594163583940978,0.05631038065791454,0.1977396939141021,0.22134589265672186,0.20320762538004297,0.13279184001610894,0.12754754271699018,0.18093385214007784
