contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0648854961832061,0.03860776737599975,0.007439191849317751,0.07849334249454462,0.010665878893043,0.018401215854257816,0.0115427597977697,0.032753777768803984
10-19,0.04238930170837041,0.4036363636363636,0.03378508831899302,0.010196459904469843,0.023569019026324675,0.020413901039649376,0.009484816046356655,0.03713939134858482
20-29,0.008630719539568529,0.03569971337898256,0.46112600536193027,0.19178742501824783,0.17996158528402373,0.09331607051961723,0.07170360562452979,0.1317991527207524
30-39,0.10132395898252639,0.011988011988011991,0.21339203756125008,0.31267217630853994,0.1992976575829395,0.17818125968154658,0.156894274684264,0.17335130222755668
40-49,0.017800150508968108,0.03582506267083275,0.25887230535394695,0.2576617151316586,0.1518467852257182,0.1886647817557695,0.14741705593264207,0.19764159408621995
50-59,0.033231526640387955,0.0335774880919209,0.14525763552791346,0.24927944599081975,0.20415855555556447,0.3789359391965255,0.12196058892458225,0.18949626273118006
60-69,0.01629621582304027,0.01219619746681422,0.0872563132001512,0.17159509836315018,0.12470900575512932,0.09534388607856153,0.12693935119887165,0.12335914501105998
70+,0.06211602676523691,0.06414982528979667,0.2154436228373454,0.2546771912313364,0.22459164290195446,0.19899361714632952,0.16570534279677335,0.1395112016293279
