contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.013333333333333334,0.0,0.006993006993006993,0.007108298782780299,0.0,0.014415993478255475,0.005514224966833058,0.009356871543389298,0.0,0.004098360655737704,0.0,0.0,0.0,0.0
5-9,0.013123749413226528,0.11827956989247312,0.0847457627118644,0.0,0.0,0.015831164187546775,0.04147371013268895,0.10789227699954639,0.04075445914999415,0.005846141463307788,0.015097624323408302,0.009724183878460387,0.0,0.0,0.0018291009102568104
10-14,0.0,0.09341622905957074,0.16666666666666666,0.0409899912315087,0.006622516556291392,0.0,0.003964194793405435,0.026944313883479936,0.008995496690362693,0.002218647350457856,0.0,0.022283690455674694,0.009009009009009009,0.0,0.008606632035478281
15-19,0.00764791675438688,0.0,0.041317447399546424,0.3023255813953488,0.0326797385620915,0.004854368932038835,0.11484539829390299,0.0,0.005994320938910306,0.06578783185228429,0.06567670808992275,0.0037174721189591076,0.0,0.0,0.0
20-24,0.008064516129032258,0.0,0.00692487855287417,0.03390096218190872,0.20895522388059704,0.4261419529582417,0.08918089274586767,0.060349452218755956,0.010133043845088636,0.10222306993407225,0.006377922014461313,0.015999999999999997,0.03414634146341464,0.0,0.0077304102832851775
25-29,0.0,0.018779342723004695,0.0,0.00518251201459953,0.4385593542834185,0.24166666666666667,0.10585891604754652,0.05672990224037696,0.180999268400251,0.13065946280703025,0.06818506532894936,0.07149595798246458,0.09452142963452285,0.012784612427405903,0.04847696559257103
30-34,0.017772975738316012,0.05194805194805195,0.0045045045045045045,0.12946428571428573,0.09691137283487426,0.11177798747390626,0.1956521739130435,0.13778374345817587,0.04691588570418034,0.274623744569234,0.06882669328544791,0.24771102630056158,0.06931064909122814,0.030120481927710843,0.03888552670689621
35-39,0.007326007326007325,0.14563106796116504,0.032993353888317915,0.0,0.0706713780918728,0.06455177310978696,0.1484790832486814,0.14351851851851852,0.06874032259573744,0.05837308790875805,0.04034821699683323,0.03827785477483655,0.04519774011299435,0.0,0.09398496240601505
40-44,0.014285714285714287,0.06321603226954586,0.012658227848101267,0.008368200836820083,0.013636363636363637,0.23667990410081163,0.05809993431961228,0.07899507037040411,0.13071895424836602,0.07994675432771478,0.05638740399088883,0.05952380952380952,0.0689640016649028,0.055245264948746146,0.16684055725507535
45-49,0.0,0.010600706713780918,0.0036496350364963507,0.10736211935032763,0.16081293213715506,0.19972794454179746,0.39756414097888915,0.07841777062100426,0.09345751649895906,0.14736842105263157,0.10168253462794971,0.163920220343139,0.054878048780487805,0.07006148678995908,0.03333333333333333
50-54,0.007499573993303959,0.02806828273416444,0.0,0.1098901098901099,0.010287100547587876,0.10686339173287276,0.10215691153488528,0.05557351930312798,0.06758296304230027,0.10425288742546385,0.037433155080213894,0.1888382670447523,0.17032474654341845,0.04091333730984412,0.04331922258451034
55-59,0.0,0.017324656496866694,0.036015897986636,0.005960726469807972,0.024730790852715,0.10738050072866634,0.3523387671790904,0.05052372756910742,0.06836756121966911,0.1610565901219772,0.1809648587680231,0.0546448087431694,0.06923262116339626,0.03317535545023697,0.01887552620998593
60-64,0.0,0.0,0.012394141315004624,0.0,0.044925662768211326,0.12083882916239563,0.08391649761342412,0.05078048058995768,0.067423938130745,0.045896220571335807,0.13893583806628879,0.05893089898141594,0.07971014492753621,0.03868399586716316,0.06466260005251624
65-69,0.0,0.0,0.0,0.0,0.0,0.01433055486414601,0.03197484975137852,0.0,0.047357191086328305,0.051375590254644644,0.029261774064800683,0.024759797535848515,0.03391802381351248,0.10714285714285715,0.0
70+,0.0,0.006993006993006992,0.029850746268656716,0.0,0.025641025641025644,0.1562407047540839,0.11869103155972677,0.2662079328483892,0.41122151465740026,0.0702812606354726,0.08908400276755044,0.04050549038810046,0.16301805166901395,0.0,0.1
