contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.045454545454545456,0.037628511863852916,0.0,0.009174311926605505,0.019230769230769232,0.0,0.06101617770182127,0.003110296313936828,0.06007265909224388,0.0,0.026923076923076925,0.0,0.0,0.0,0.008218717088974717
5-9,0.037037037037037035,0.03296703296703297,0.08962264150943397,0.0,0.0,0.008346628643434315,0.1267772219902924,0.11535887056352885,0.03365827893335665,0.0019350386363931045,0.04308578114187076,0.009451260455664289,0.008928571428571428,0.03581275494292225,0.0
10-14,0.0,0.0987920686563951,0.33884297520661155,0.026753891838803,0.005524861878453039,0.0,0.0,0.015099243990623186,0.0025471119660883607,0.0,0.0,0.02514439707848268,0.012522162384705797,0.0,0.008285119919210415
15-19,0.01003350546676444,0.0,0.02696762027929352,0.06153846153846154,0.032,0.005681818181818182,0.09051854052721417,0.0,0.0032122033730931916,0.07956951612236275,0.058246308222975655,0.009172742156053402,0.015151515151515152,0.0,0.0
20-24,0.021817716640011007,0.0,0.005777108626983424,0.03319582216852502,0.1,0.48791648275588717,0.08084617864474701,0.014937770344555802,0.0045871559633027525,0.16855900361877832,0.02260863907009546,0.020833333333333332,0.07253886010362694,0.018249747667901953,0.02921669027476214
25-29,0.0,0.009900990099009901,0.0,0.006065894744360814,0.5021339394918173,0.27027027027027023,0.056319517603899874,0.0397183420138754,0.15351248081059088,0.09924897032809506,0.05367655312886628,0.03665229834079619,0.08160267903980002,0.09608975173496344,0.040369158996149616
30-34,0.07522471812816603,0.1587952872485014,0.0,0.1020408163265306,0.0878541795185042,0.05946860754211424,0.1679389312977099,0.09507499585945692,0.07518185199138912,0.23576233479314868,0.11157390618120691,0.06918083422019376,0.06933254287629989,0.047843406174388384,0.05603521207008961
35-39,0.004132231404958678,0.15570934256055363,0.01848904754387265,0.0,0.017492666081591644,0.0451946733684265,0.10245510733542698,0.16666666666666666,0.10339156917266099,0.04390485142763333,0.04543059217337931,0.0630121485859242,0.03927492447129909,0.008583690987124463,0.01593625498007968
40-44,0.09171664270428335,0.052208835341365466,0.0035842293906810036,0.004484304932735426,0.006173083599418997,0.20073738174556044,0.09310408611421167,0.11881562340830967,0.1518987341772152,0.047474057861372404,0.04679954656187519,0.07873352695869451,0.26273824706727866,0.022451455882077812,0.07712963293686569
45-49,0.0,0.003508771929824562,0.0,0.129853069269075,0.26516976674184334,0.151713411456439,0.34130570265960913,0.058981299289545736,0.05549703153256918,0.17525773195876287,0.11550968422973468,0.16582294190775093,0.17550886021842768,0.0444640585741225,0.048582995951417005
50-54,0.04926643223293525,0.08010160148423594,0.0,0.0974575827179455,0.036466006142886254,0.08412485191892943,0.1656050162991783,0.06257371648660426,0.05609146372829437,0.11842956266398315,0.05555555555555555,0.3167586986322308,0.2032579055138219,0.03264761467101485,0.04560095075289573
55-59,0.0,0.016838414709484932,0.040639500082603405,0.01470789967501365,0.03220155058947266,0.0550484567205388,0.09840131142159352,0.08317103054563606,0.09043136296973547,0.1629260717912091,0.30355178565549845,0.1444444444444444,0.0704436459884533,0.04818396267762914,0.033167354585713564
60-64,0.0,0.013540220571025762,0.017227360968368164,0.020679490257820416,0.09543793645060436,0.10432313846512818,0.08394300508070096,0.04412608981778423,0.2568709310245847,0.14678352346362522,0.16579979139415665,0.05996172491910492,0.09022556390977444,0.025482314737893193,0.06526808874181761
65-69,0.0,0.047619047619047616,0.0,0.0,0.021052631578947368,0.10770912821480587,0.0507888860374721,0.008455774123834326,0.019245774047065366,0.032605178094650744,0.02335001706223678,0.03596118697695693,0.02234282521048838,0.05714285714285715,0.011363636363636364
70+,0.030927835051546393,0.0,0.028735632183908046,0.0,0.09690894493671265,0.13010933697662505,0.17103734184697253,0.04513868375309738,0.19010584118809853,0.10243422602740947,0.09377627253464278,0.07117470249171622,0.16454452271034803,0.03267387552488781,0.20754716981132076
