contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.03309725020454977,0.0,0.006493506493506493,0.036569190135387966,0.0,0.08960954720202521,0.012189339400367814,0.014186330258907906,0.008064516129032258,0.015624999999999997,0.0,0.0,0.0,0.015479913740398978
5-9,0.03257700134635287,0.08602150537634408,0.03349282296650718,0.0,0.0,0.0160573236759403,0.04890427662955691,0.3439708545295062,0.048224307633848405,0.001962583670363113,0.02500807892925372,0.00835662664161435,0.013157894736842105,0.049723494466206095,0.0019232458100494408
10-14,0.0,0.03691952402067245,0.2672413793103448,0.07093795312099312,0.0,0.0,0.0032354825152059066,0.0188667057130745,0.0,0.00199970188824162,0.0019003890413424656,0.010311027100629708,0.009775907691142822,0.0,0.03264024602134217
15-19,0.007101636986216388,0.0,0.07150465415213617,0.1702127659574468,0.030160912468989522,0.0,0.0,0.0,0.03832171843044099,0.0035460992907801418,0.09626907422979446,0.013704484927318303,0.013100436681222707,0.0,0.0
20-24,0.04148852386268618,0.0,0.0,0.03128800896128203,0.13432835820895522,0.7330801288600616,0.08377096763906901,0.003937007874015747,0.05623309365554397,0.023164680233666073,0.009961947496856171,0.017543859649122803,0.0495049504950495,0.009124873833950976,0.014572472746329489
25-29,0.0,0.01904761904761905,0.0,0.0,0.7544414383964163,0.40170940170940167,0.08019814051297099,0.02183053895113075,0.12428657497102631,0.013114754098360656,0.08142187836781702,0.015581430339364686,0.05571387553285782,0.0,0.04094596992763339
30-34,0.11047648646243745,0.061255236020752245,0.003676470588235294,0.0,0.09103249841580195,0.08468239691461692,0.1282051282051282,0.2019322443833617,0.04551651060378515,0.047142130638615665,0.16396632228658747,0.18178038835321267,0.06797812649089537,0.06490220339645908,0.019928233825852924
35-39,0.016194331983805668,0.46428571428571425,0.023102310231023104,0.0,0.0046103777546596374,0.024840515170759,0.2176070541550605,0.3315508021390374,0.10436615682795816,0.06642713453490144,0.032976934007472314,0.041710467538620274,0.061770376680215726,0.009302325581395349,0.07391304347826087
40-44,0.021659147494092052,0.07480284246535769,0.0,0.053497942386831275,0.07567468622533954,0.16252073781929194,0.05636696903075241,0.11993560099213761,0.12080536912751677,0.07121661721068248,0.040117113912066904,0.07013318733771773,0.29225352112676056,0.031071731513341957,0.10529769937862019
45-49,0.014393387135019971,0.0035587188612099647,0.0032894736842105266,0.005787038796774551,0.03644167752737183,0.020047402790146395,0.06824617696715898,0.08923748915100557,0.0832520123416705,0.05319148936170213,0.09487743612644212,0.1636294602893786,0.25508172536045154,0.06439672477453119,0.032356211236260646
50-54,0.028592125849471347,0.04649299883136392,0.003205128205128205,0.16107718327853396,0.016067859612831338,0.1276088545441659,0.24336913893367207,0.04542070046778218,0.048082253038658304,0.09727576819262114,0.040816326530612235,0.39386879284934784,0.17133258384659214,0.030340926435787882,0.047255682079235604
55-59,0.0,0.01488820942179216,0.016665143546685246,0.02197425655050331,0.027117095233240126,0.023401907452169197,0.2585604641272363,0.055054503735844425,0.08055322764454459,0.16077090954697368,0.3774468574964329,0.14906832298136646,0.07448939592697934,0.04243208455961746,0.02122547064482616
60-64,0.0,0.01995400926256428,0.013449201936117584,0.01788008327968752,0.06513267940228656,0.07122617075854142,0.08230317222869893,0.06940013828572503,0.2857270873388327,0.21333278771789674,0.13975794244743467,0.06340547263405351,0.11851851851851851,0.02626398083414759,0.02906333209982041
65-69,0.0,0.06611570247933884,0.0,0.0,0.010526315789473684,0.0,0.06889790831088824,0.009163699399318131,0.026635222548495003,0.04722166053478024,0.02170024233313139,0.03166838179913541,0.023028187947006434,0.07142857142857142,0.0
70+,0.058252427184466014,0.007352941176470589,0.11320754716981132,0.0,0.0483354872056016,0.1319683920008672,0.060827326521320994,0.20935517779833318,0.2595332941870677,0.06822105945216125,0.09717915193229668,0.045548298236690876,0.07327029488567355,0.0,0.09302325581395349
