contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.037037037037037035,0.05500634823212537,0.0,0.012658227848101267,0.022688417709171318,0.0,0.11997863150560317,0.002963353180994931,0.010341805390061855,0.0,0.030042918454935622,0.0,0.0,0.0,0.014627808396890778
5-9,0.0541417147751317,0.09333333333333332,0.08648648648648648,0.0,0.0,0.016944914431896798,0.012492718393099383,0.11314957340606976,0.061107629999313205,0.0021049084403512775,0.06084515598861672,0.007890643743383064,0.01015228426395939,0.014603259297113924,0.0020120110012824917
10-14,0.0,0.09533504889971327,0.33636363636363636,0.07435897617163699,0.01092896174863388,0.0,0.003397881251490373,0.04161275160662186,0.005777595435273598,0.008187331636706431,0.006154893227323694,0.021606787896787126,0.0074434328243035515,0.0,0.015726663992101222
15-19,0.013843697416168657,0.0,0.07495300668164247,0.18269230769230768,0.03914097996470992,0.013157894736842106,0.03155626590711577,0.0,0.005969344601664847,0.08689037560956768,0.07684146644247643,0.0,0.017699115044247787,0.0,0.0
20-24,0.025740492366623187,0.0,0.011427941655562837,0.04060365657532223,0.15068493150684933,0.12968007533505263,0.05604333387903909,0.05371104755430897,0.010666361942198563,0.07340506112394715,0.03515863720245842,0.02621722846441947,0.06420577605815043,0.017165604242085995,0.01798035938318845
25-29,0.0,0.020100502512562814,0.0,0.014047335197467148,0.13345883855734514,0.056451612903225805,0.11277723340689433,0.08249492151325227,0.1203672541361175,0.0786720097756295,0.11984619550770838,0.03456719922812963,0.11362174926825763,0.10119631308448096,0.06877246389767748
30-34,0.14791747166657904,0.0156478015104224,0.003861003861003861,0.035573122529644265,0.06090134621031321,0.11908314059663759,0.174496644295302,0.1307247077496057,0.08257915254059983,0.08186334382716916,0.12824273040239947,0.10181147294306811,0.06930492549391346,0.03922036963247724,0.05054156382792396
35-39,0.003937007874015748,0.15272727272727274,0.05095487849351855,0.0,0.06289756758125842,0.09386925141646005,0.14087209620999377,0.55,0.07147099467155864,0.043869622384100804,0.07311978295427059,0.07814240294060823,0.06764013224241903,0.013157894736842106,0.3137254901960784
40-44,0.015789473684210527,0.09478672985781991,0.008130081300813009,0.008333333333333333,0.014354066985645933,0.15739571998057209,0.10226479297502833,0.08213310674618,0.08088235294117646,0.061471932456970725,0.06508898544171848,0.12912706700617801,0.30947726863825376,0.0,0.3602693133706635
45-49,0.0,0.0038167938931297713,0.01346801346801347,0.14180030887072456,0.11547768151222829,0.12025917195653144,0.1185109831539092,0.058933972976104004,0.07186050503401913,0.10695187165775401,0.08648860734328259,0.09729953043043418,0.23104012068422605,0.034673703607671476,0.051546631386678546
50-54,0.05497541794233118,0.11311839563029286,0.010380622837370242,0.12857095669167024,0.05670819354607638,0.1878295617441779,0.19034593468519861,0.10071135658283523,0.07801221879764608,0.08867488480628362,0.07262569832402237,0.24478799152112504,0.20684132129906424,0.020263532765336854,0.0889223681587243
55-59,0.0,0.014058011870391107,0.03492185777115728,0.0,0.04052329961821278,0.051916825323391175,0.14481442105012432,0.1031417643697763,0.14831212466550803,0.09559974089097298,0.23458181970728606,0.09278350515463918,0.14096539612554487,0.010540036008660207,0.052441725421750185
60-64,0.0,0.015395986842181577,0.010240300370541005,0.02415657269055128,0.08447426340096449,0.1452572099474979,0.08390956788117238,0.07599491509644807,0.3025662042485101,0.1932260453021345,0.16872282451392528,0.1199899321931472,0.09836065573770492,0.007603429586553523,0.07092219180279127
65-69,0.0,0.019417475728155338,0.0,0.0,0.019801980198019802,0.11343318578807382,0.041634972149574026,0.012961811650351304,0.0,0.02542598038918614,0.014492753623188408,0.007866356036077243,0.006666666666666667,0.0,0.060240963855421686
70+,0.055045871559633024,0.007692307692307692,0.05454545454545454,0.0,0.05963911863462776,0.22165286328677658,0.15426897499923012,0.8886125193747013,0.8879764918452347,0.10868286706103363,0.18286478885199214,0.11253608410039069,0.17879883454109952,0.1732109063969956,0.2727272727272727
