contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.021739130434782608,0.1706170301357693,0.0,0.0,0.04693681777946882,0.0,0.04930585851033365,0.01286652492261047,0.059480290821741,0.023166023166023165,0.0,0.0,0.0,0.0,0.009379006560359381
5-9,0.16793513618480663,0.0821917808219178,0.03409090909090909,0.0,0.0,0.01233672428761267,0.04719422187512879,0.13341162527581202,0.026373497583794495,0.0038565455340701725,0.007352941176470589,0.006505381597854259,0.013698630136986302,0.02892568668466797,0.002335369912202892
10-14,0.0,0.03757880123532732,0.2621359223300971,0.0539400283863855,0.0,0.0,0.0,0.044329735388497514,0.0,0.0,0.0,0.024327642668975136,0.013870493295087744,0.0,0.016243502714846335
15-19,0.0,0.0,0.05437093833460903,0.1271186440677966,0.06736310742901883,0.0,0.014307769309140305,0.0,0.04595269051847656,0.034492501839762386,0.07860577768656275,0.004376567818361698,0.011363636363636362,0.0,0.0
20-24,0.05325081789540664,0.0,0.0,0.06988042921665485,0.20689655172413796,1.0929485848987055,0.0768171283039717,0.027267843486954445,0.0,0.154295154683283,0.0359532466278068,0.035555555555555556,0.038039525321910135,0.0,0.01341738145410435
25-29,0.0,0.014634146341463415,0.0,0.0,1.124796144408532,0.5151515151515151,0.06850017625962038,0.05596703601072264,0.06093415318043586,0.10903405437697158,0.08830082143108789,0.03455397202121532,0.11350815981494974,0.018404907975460124,0.02117276067466981
30-34,0.060787473883280874,0.059113300492610835,0.0,0.016129032258064516,0.08347587843042223,0.07233034429021701,0.11538461538461539,0.1221618799384218,0.05816804595087531,0.057407480706084806,0.22914857297396024,0.11821260493430356,0.06033295528866516,0.08074534161490683,0.027545795919812092
35-39,0.017094017094017096,0.18007662835249041,0.05428182932299227,0.0,0.03193162499356805,0.06368372353055263,0.13164458655239158,0.22872340425531915,0.08428466866705611,0.054113400725575495,0.06222798970234278,0.07486257328788529,0.04790419161676646,0.0091324200913242,0.07488986784140969
40-44,0.0908122374417888,0.04090909090909091,0.0,0.06415094339622641,0.0,0.07967926974885897,0.07203444203430898,0.09685833701503689,0.061224489795918366,0.09046195153001285,0.04913294797687861,0.07283644597880971,0.13310580204778158,0.013107477445174254,0.16844917644442067
45-49,0.041346254936119146,0.006993006993006992,0.0,0.056289863869155354,0.2427304937640526,0.16667103245276288,0.08310700077473793,0.07269535324657708,0.10574975055257972,0.1784037558685446,0.06694384793514291,0.10803510742235939,0.25457213730202183,0.048810215374175146,0.04365079365079365
50-54,0.0,0.013669993864456201,0.0,0.13152299801852158,0.05798983779260144,0.13838991317822338,0.3401167393086931,0.08570957143383605,0.05888815537273518,0.06863606880125375,0.06030150753768845,0.3255006948938584,0.19654315990960772,0.0,0.04791561796038128
55-59,0.0,0.011590021638063367,0.03931942504604375,0.007017543859649123,0.05495731300603334,0.051896959247856554,0.16814303387950136,0.09881264977278512,0.08365812301525384,0.10614777102228921,0.3119292937929838,0.17964071856287425,0.07475553224445533,0.03211894937217306,0.05334945647880394
60-64,0.0,0.020774037040477884,0.01908232679490372,0.01550961769336531,0.05004784738962412,0.14511199402560596,0.07304693239603281,0.05382122793067371,0.13013336154302851,0.2129066033609463,0.16032249683270192,0.06363200822055756,0.10273972602739725,0.05154867516307473,0.046233664589697604
65-69,0.0,0.038461538461538464,0.0,0.0,0.0,0.020630468464299563,0.08571642951984454,0.008996325894307754,0.011235955056179775,0.035792183982940616,0.0,0.023971368888935092,0.04519774011299435,0.0,0.014285714285714285
70+,0.03529411764705882,0.008928571428571428,0.05633802816901408,0.0,0.044504160748620375,0.06823956509990206,0.08407855594961984,0.21212198631549178,0.41518637086762145,0.09203498416549984,0.09853627993125132,0.11448400815810619,0.11655766883499911,0.04107572923128753,0.15384615384615383
