contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.05454545454545455,0.030435409480993127,0.0,0.006211180124223603,0.014598540145985401,0.0,0.08387519074685869,0.011192441754241077,0.015897597282457543,0.015748031496062992,0.016194331983805668,0.0,0.0,0.0,0.01706577646303924
5-9,0.02995700154881195,0.15384615384615385,0.12921348314606743,0.0,0.0,0.008827324533893881,0.16572583707517216,0.0025371928152861365,0.018442914770584153,0.003981848457559818,0.014814814814814814,0.0,0.0,0.0,0.001981525986111545
10-14,0.0,0.1424335088020646,0.4,0.019340530362515724,0.01098901098901099,0.0,0.0036668801839000276,0.035881004242150266,0.005662503892738268,0.0020331417191486708,0.0,0.0,0.004524886877828055,0.0,0.014977775230572596
15-19,0.006792870160728721,0.0,0.019495035786158226,0.16981132075471697,0.026595744680851068,0.0182648401826484,0.0072120463184284465,0.0,0.1059152193914074,0.09421692585851046,0.03486789320293016,0.013778178380671262,0.004405286343612335,0.0,0.0
20-24,0.016562354237672588,0.0,0.011490732543780215,0.0275896128395321,0.21951219512195122,0.7419925395035446,0.0443264094223252,0.05101784370148703,0.027719052754673817,0.04397382514335526,0.02503641085773548,0.0041841004184100415,0.04689717404600658,0.007880572856594025,0.01178655883894297
25-29,0.0,0.010471204188481676,0.0,0.01949949726041102,0.7636135488393831,0.44247787610619466,0.07114624505928854,0.04364821921188837,0.11074437351432107,0.06928445115402306,0.055174915769537404,0.059259259259259255,0.043836264517683465,0.06076943657464039,0.04335978533375493
30-34,0.103406798320149,0.20758052187691425,0.004166666666666667,0.008130081300813007,0.04816876191405126,0.07512436728032164,0.07857142857142857,0.1151848734016787,0.05391765973441226,0.07508504251013404,0.17482653729314662,0.09027673923900408,0.08095685497769718,0.10645244553510086,0.04452628235113716
35-39,0.01486988847583643,0.003424657534246575,0.04393634500952468,0.0,0.05974372904977768,0.04966639870580782,0.12412599612659052,0.17757009345794394,0.05518923080549868,0.05671042014349766,0.05506452923604501,0.05399052670317982,0.04411976890166844,0.008264462809917356,0.01119402985074627
40-44,0.024271844660194174,0.02860761545112786,0.00796812749003984,0.14785992217898833,0.037302422529384906,0.1448125615906502,0.066770827028369,0.06342241360734005,0.1655629139072848,0.0901894358594418,0.07290396742939545,0.07906889671016637,0.1965324628550665,0.032585628285489075,0.10271802082431017
45-49,0.02810677172822798,0.007220216606498195,0.003344481605351171,0.15375683548220087,0.06917772830683176,0.10590921407764292,0.10869824993730358,0.07618416085139731,0.10543118054942212,0.06532663316582915,0.10110372222601154,0.2895256210505489,0.20557123307141154,0.07048822580632494,0.07509881422924901
50-54,0.029633944200261806,0.02754250615653397,0.0,0.05834087497900229,0.04038181640670294,0.08647316841691126,0.25948855381059555,0.07584299644906688,0.0873788432823405,0.10365944368017845,0.052083333333333336,0.5592437812147221,0.18293686169654422,0.006355380730946558,0.066124616880199
55-59,0.0,0.0,0.0,0.02209241924385944,0.006467257022153504,0.08900207944104764,0.12840766712509802,0.07126320632412515,0.09081656029158708,0.2844677074111857,0.5359267137334692,0.16560509554140126,0.0782305827001552,0.02897055121994738,0.05558290814441355
60-64,0.0,0.0,0.006225111701201418,0.00601253901769228,0.06170167976063797,0.056041501907576154,0.0980169110605839,0.04956936038712412,0.1921436154562163,0.1719256217345984,0.14922368421987978,0.06658997577860873,0.05785123966942149,0.015308918630644675,0.03990454683488583
65-69,0.0,0.0,0.0,0.0,0.00909090909090909,0.06811780566998615,0.11300619159483496,0.00814130318534462,0.02793296089385475,0.051688514942015464,0.004545454545454545,0.021621621621621623,0.013422818791946308,0.0,0.012195121951219511
70+,0.06422018348623852,0.007575757575757576,0.05194805194805195,0.0,0.039094879357471884,0.13974809140219463,0.13590841712422716,0.031706556778061876,0.2531750121249266,0.15834118008782364,0.13598225456763338,0.11927683109544907,0.10060160699499845,0.03506464690475765,0.14814814814814814
