cont_id,distance,relationship,setting,location_multi,location_fine_multi
21269,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21270,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21271,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21272,Pyshical contact,Cohabitant,indoor,Transport,Transport
21273,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21274,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21275,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21276,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21277,Pyshical contact,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
21278,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21279,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21280,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21281,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21282,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
21283,Pyshical contact,Other,indoor,Home,Home
21284,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21285,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21286,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21287,Between 1 and 2 meters,Coworker,indoor,Work,Work
21288,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
21289,Between 1 and 2 meters,Coworker,indoor,Work,Work
21290,Between 1 and 2 meters,Coworker,indoor,Work,Work
21291,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
21292,Pyshical contact,Friend or acquaintance,outdoor,Leisure,Leisure
21293,Pyshical contact,Friend or acquaintance,indoor,Home,Home
21294,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
21295,Pyshical contact,Friend or acquaintance,outdoor,Home,Home
21296,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21297,Pyshical contact,Friend or acquaintance,indoor,Home,Home
21298,Pyshical contact,Friend or acquaintance,indoor,Home,Home
21299,Pyshical contact,Friend or acquaintance,indoor,Leisure,Restaurant
21300,Pyshical contact,Friend or acquaintance,indoor,Leisure,Restaurant
21301,Pyshical contact,Friend or acquaintance,indoor,Leisure,Restaurant
21302,Pyshical contact,Friend or acquaintance,indoor,Leisure,Restaurant
21303,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21304,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21305,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21306,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21307,Pyshical contact,Cohabitant,outdoor,Home,Cohabitant
21308,Pyshical contact,Friend or acquaintance,indoor,Leisure,Homeguest
21309,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21310,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
21311,Pyshical contact,Friend or acquaintance,indoor,Leisure,Restaurant
21312,Pyshical contact,Cohabitant,indoor,Other,Shopping
21313,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
21314,Pyshical contact,Cohabitant,indoor,Home,Home
21315,Pyshical contact,Cohabitant,indoor,Home,Home
21316,Less than 1 meter,Other,indoor,Leisure,Restaurant
21317,Less than 1 meter,Other,indoor,Home,Home
21318,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21319,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21320,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21321,Between 1 and 2 meters,Other,indoor,Other,Shopping
21322,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
21323,More than 2 meters,Other,indoor,Other,Shopping
21324,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21325,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21326,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21327,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
21328,Pyshical contact,Friend or acquaintance,indoor,Home,Home
21329,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21330,Between 1 and 2 meters,Other,indoor,Other,Shopping
21331,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21332,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
21333,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
21334,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
21335,Pyshical contact,Other,indoor,Work,Work
21336,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
21337,Pyshical contact,Other,indoor,Work,Work
21338,Pyshical contact,Other,indoor,Work,Work
