contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.003189177013079829,0.0,0.0,0.0,0.011441647597254004,0.002975066039417836,0.00983877050699733,0.0,0.0,0.003189792663476874,0.005424954792043399,0.0,0.0
5-9,0.0,0.0,0.12852440120532932,0.0,0.0,0.0,0.0,0.0014274764972322773,0.002691797480136761,0.0033222048877833417,0.0019279180469261197,0.0,0.0,0.0,0.003404255319148936
10-14,0.0034602076124567475,0.1416739258523463,0.22941176470588234,0.033093352433049734,0.0,0.0,0.0,0.0,0.0,0.01020743351908409,0.00832987735653397,0.0014749262536873156,0.0,0.0,0.0008244023083264633
15-19,0.0,0.0,0.03335772483347413,0.4653465346534653,0.008264462809917356,0.0,0.0,0.0016868501310939336,0.019187179076779866,0.0203745009422663,0.009836065095499202,0.0,0.0,0.0,0.001748251748251748
20-24,0.0,0.0,0.0,0.00857330117988766,0.03546099290780142,0.07492134979878566,0.018043753840747,0.014555876401626084,0.0,0.0,0.0,0.028911558242568844,0.0,0.0,0.005067567567567567
25-29,0.0,0.0,0.0,0.0,0.07710449196964496,0.0045662100456621,0.014207305884811488,0.019252652504170093,0.017564765494225823,0.019601700923454316,0.017644313461780123,0.011912973480332654,0.0,0.0,0.001584786053882726
30-34,0.014106008403727817,0.0,0.0,0.0,0.0196078431372549,0.015001703385259815,0.022012578616352196,0.011347517730496455,0.00485716239735036,0.0074156398341538934,0.013116338476079945,0.002421307506053269,0.009712488456573366,0.015358361774744029,0.00440852314474651
35-39,0.003952569169960474,0.0019267822736030828,0.0,0.0020491803278688526,0.017045454545454548,0.021907191924018757,0.012228358640028617,0.002583979328165375,0.001185538100322456,0.0072892057520896475,0.001786059397226025,0.00223463687150838,0.0,0.0,0.0025916796441310245
40-44,0.015021459227467811,0.004175365344467641,0.0,0.026785714285714284,0.0,0.022968197879858657,0.006015037593984963,0.0013623978201634877,0.0028818443804034576,0.0026022919826108595,0.03342088418031105,0.0011695906432748536,0.0052093783412121815,0.0032520325203252032,0.00935251798561151
45-49,0.0,0.006024096385542169,0.016791044776119403,0.03325006373182375,0.0,0.02996344352606609,0.010735388103816969,0.009792239628818915,0.0030420715380518326,0.01092896174863388,0.0036944887141886983,0.22940813944997085,0.011223116535705766,0.0021509646197355554,0.009226401703335699
50-54,0.0,0.003584229390681003,0.014048873299030219,0.016457680442064207,0.0,0.027653140350123992,0.019468095376969276,0.0024600246002460025,0.04005650589560607,0.0037878787878787884,0.00704225352112676,0.00991546856741703,0.027906976744186046,0.001440922190201729,0.002023517859490566
55-59,0.005593622035408977,0.0,0.002383841832495299,0.0,0.044687856257691165,0.017892215078776773,0.0034440150460203905,0.002949543154288588,0.0013433626064215684,0.22540045766590394,0.009502053778623992,0.015748031496062992,0.004988578339975858,0.0017266597859826886,0.004682136954327757
60-64,0.008097651422610704,0.0,0.0,0.0,0.0,0.0,0.011759203312519523,0.0,0.005093045567225036,0.00938624173904128,0.022764039169502242,0.004246284501061571,0.0,0.009547823632357752,0.002696882664932309
65-69,0.0,0.0,0.0,0.0,0.0,0.0,0.016303899497801883,0.0,0.0027876981968839275,0.0015772870662460567,0.0010305671046907173,0.001288659793814433,0.00837150615054277,0.0,0.009153318077803204
70+,0.0,0.013015127333487217,0.0028593094287875645,0.006015479775493244,0.016808633070690082,0.0051077472963989715,0.013456218907589001,0.007340809242322085,0.023051688841004208,0.01945329428519114,0.004161272059843059,0.010047521393017329,0.00679899288398774,0.026318545045218553,0.03930968360498562
