contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.016470588235294115,0.0029230745940687862,0.009967102296219034,0.003944773175542406,0.0,0.007067137809187279,0.005357142857142857,0.0,0.0
5-9,0.0,0.0,0.05802726112055196,0.0,0.0,0.0,0.002145922746781116,0.0026649651153365177,0.024449150565593478,0.004025445338482005,0.001880731241581774,0.0,0.0,0.0,0.0034393809114359416
10-14,0.0,0.06396411741513666,0.05228758169934641,0.03243640494215477,0.0,0.0,0.0,0.0,0.0,0.0022227033785208504,0.01213522558491855,0.0,0.0,0.0,0.0
15-19,0.0,0.0,0.032695529195372795,0.5121951219512195,0.0036933974209840156,0.0,0.0,0.005040696624662246,0.01828905580084549,0.008296635198854187,0.011790984089768341,0.0,0.0,0.0,0.0008833922261484099
20-24,0.0,0.0,0.0,0.0038314176245210726,0.021739130434782608,0.08303401052965906,0.004089917537235987,0.004744137493863316,0.0,0.0,0.01618705035971223,0.008260237985979002,0.003418803418803419,0.0,0.0
25-29,0.0,0.0,0.0,0.0,0.08545354849166481,0.0,0.014334805374884125,0.019457048249983646,0.014453902982692304,0.012540039284776133,0.022022331061023248,0.004842496561545615,0.003440809694174082,0.005186759530558568,0.0008038585209003215
30-34,0.020306013979766297,0.0026878836248225516,0.0,0.0,0.0044444444444444444,0.015136331973350282,0.0673076923076923,0.14557535245106587,0.004901385423729877,0.024926947172886633,0.01703053546542136,0.006535947712418301,0.0061289797887636175,0.026981450252951095,0.001253020068469526
35-39,0.0038834951456310682,0.0035971223021582736,0.0,0.006123422686824099,0.005555555555555556,0.022139769582137325,0.15687550891734284,0.007462686567164179,0.004647182727031683,0.006895442124778272,0.028934186762161435,0.004678362573099414,0.001177856301531213,0.0,0.0026265782360789264
40-44,0.015217391304347827,0.03792415169660679,0.0,0.025531914893617023,0.0,0.018900343642611683,0.0060698027314112285,0.0053404539385847796,0.005763688760806915,0.0038534874272625405,0.03616821822583122,0.00375,0.0025764269391156283,0.003184713375796178,0.0058997050147492625
45-49,0.00704055228695257,0.007299270072992701,0.0036563071297989035,0.013539651837524177,0.0,0.019168885414145194,0.03608595591600947,0.00926326185992543,0.004504715267559936,0.027918781725888325,0.02522444018652973,0.002403259205428229,0.006178000767791822,0.0040406268708513835,0.009265858873841768
50-54,0.0,0.003496503496503496,0.02046683755360947,0.01972864619772243,0.026108474553571747,0.03451461078304435,0.025277792988212918,0.039852432306327,0.04334931531973285,0.02586206896551724,0.014354066985645935,0.014226832908095592,0.015028901734104046,0.002861230329041488,0.007991532638101432
55-59,0.012392936453008582,0.0,0.0,0.0,0.012767638626556155,0.007272994449324648,0.009296589634028898,0.006175066954592482,0.004307156356839154,0.0023612750885478153,0.013633660423920562,0.01545253863134658,0.0052213786625080645,0.0,0.0074309143702022094
60-64,0.00799643077982807,0.0,0.0,0.0,0.004498051705730559,0.004398826979472141,0.0074205410649025175,0.0013233429129008408,0.0025188916876574302,0.005166854365807411,0.012259246527699184,0.0044444444444444444,0.0,0.009206829931202119,0.0006868131868131868
65-69,0.0,0.0,0.0,0.0,0.0,0.005813953488372094,0.028642563554691858,0.0,0.0027299910686044834,0.0029629629629629624,0.002046390760101167,0.0,0.008072523788023384,0.0,0.015874338521725893
70+,0.0,0.013149419275019327,0.0,0.0030396240561679643,0.0,0.0025908268038808287,0.0038246169484265242,0.007439657843033722,0.014541342177896913,0.019536487275719397,0.016434221880615146,0.01594619547283326,0.0017314946736435067,0.0456435021590947,0.05450941526263627
