contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.01039652393709922,0.003766478342749529,0.0,0.0035460992907801418,0.005714285714285714,0.0,0.0
5-9,0.0,0.0,0.11533495181876477,0.0,0.0,0.0,0.008583690987124463,0.0012751468193864923,0.07382901391328066,0.0009524801578100772,0.0009486580865826939,0.0,0.0,0.0,0.0
10-14,0.0,0.12713504407658016,0.18235294117647058,0.03467751834158438,0.0,0.0,0.0,0.0,0.0019646365422396855,0.003044621238858694,0.013508030338992321,0.0031645569620253164,0.0,0.0,0.0
15-19,0.0,0.0,0.03495454614598324,0.4444444444444445,0.019805385346682122,0.0,0.0,0.005474452554744526,0.03298848332498995,0.01293741548640452,0.020533465644708714,0.0,0.0,0.0,0.0008810572687224668
20-24,0.0,0.0,0.0,0.020545501560861594,0.21538461538461537,0.09373659263351533,0.0,0.04378223573384348,0.0,0.0,0.005484460694698355,0.03010591380839592,0.0036166365280289334,0.0,0.005226480836236934
25-29,0.0,0.0,0.0,0.0,0.0964679944152569,0.0,0.007132037289452522,0.010590015128593042,0.018816168957177963,0.011969172549505594,0.01140739131815793,0.00866684458311427,0.002395744983590325,0.0,0.0
30-34,0.01179775248311781,0.010751534499290206,0.0,0.0,0.0,0.0075308231424341425,0.02848101265822785,0.00535475234270415,0.006164146935568681,0.01288379154907109,0.00551488455842385,0.0012853470437017996,0.01388292056611357,0.021390374331550804,0.005997001499250374
35-39,0.0,0.0017211703958691911,0.0,0.0066503480506349575,0.051270572001850374,0.012050157444544313,0.005770410201619929,0.009280742459396751,0.0011301103449827049,0.006679518564722969,0.009110888142656108,0.0022396416573348264,0.00117096018735363,0.0,0.0016239136960342871
40-44,0.015873015873015876,0.114519427402863,0.00276458519705965,0.04605263157894737,0.0,0.02460456942003515,0.007633587786259542,0.0012987012987012987,0.017699115044247787,0.0035297765197956853,0.03571428571428571,0.005757717992557735,0.0013423116730038116,0.0017123287671232878,0.004421518054532055
45-49,0.00672233523443494,0.0017271157167530224,0.005008347245409015,0.02111314974864779,0.0,0.018296250266308538,0.018651459027302735,0.008973192500727678,0.004126298185717392,0.01631701631701632,0.010376010856870385,0.002284579738493502,0.005868544600938967,0.00404662186620873,0.011057360055286798
50-54,0.0,0.0017636684303350971,0.022782160964603084,0.03435654529201436,0.00884601575367818,0.017878292280009266,0.008185538881309686,0.012548859794827573,0.04280525579614784,0.010638297872340425,0.0407673860911271,0.011723043893396387,0.09404761904761905,0.0036226340797707595,0.0034843205574912896
55-59,0.0062184415180876395,0.0,0.005114698615290547,0.0,0.04653394111408151,0.01301682133276115,0.0018282496323989992,0.002956149074007039,0.006613171107341925,0.0022446689113355778,0.011234264197081694,0.021645021645021644,0.006637345757425505,0.0,0.005267564333684759
60-64,0.008529526165149943,0.0,0.0,0.0,0.0047583367953930875,0.0030627871362940273,0.016808471509482194,0.0013155950035747233,0.0013123359580052493,0.0049080465399707045,0.07671571533611023,0.005649717514124294,0.0,0.018780926373972023,0.003326383260542684
65-69,0.0,0.0,0.0,0.0,0.0,0.0,0.022707272978519082,0.0,0.0014678376635989861,0.002967359050445104,0.002590957055370631,0.0,0.016467065868263474,0.0,0.006127433370160888
70+,0.0,0.0,0.0,0.0030315898075613528,0.017335733062453885,0.0,0.018304761552452403,0.004599658254667853,0.010897969782550596,0.023313756119576257,0.007165346090434588,0.011303805473454286,0.008385999291672297,0.017618215579683898,0.0343811394891945
