contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.009501187648456057,0.0027075241293982462,0.009472865818720571,0.0,0.0,0.0068143100511073255,0.010471204188481676,0.0,0.0
5-9,0.0,0.0,0.06785714285714285,0.0,0.012665314560727472,0.0,0.004640371229698376,0.001308940463009809,0.007830188216511186,0.0,0.0,0.0,0.0,0.0,0.0017667844522968198
10-14,0.0,0.07479970912555628,0.20422535211267603,0.05655618252329397,0.0,0.0,0.0,0.0017543859649122805,0.0,0.0051958066156021585,0.005247091866361497,0.0033277870216306153,0.0,0.0,0.0
15-19,0.0,0.0,0.05700799210537762,0.25961538461538464,0.016666666666666666,0.0,0.0,0.005306734706717744,0.015572203308690906,0.004480919715651726,0.018908672968262718,0.0,0.0,0.0,0.0
20-24,0.0,0.014598540145985403,0.0,0.017289490712773446,0.007352941176470588,0.029194058089026618,0.03432098632645583,0.016176717186830464,0.0,0.0,0.005366726296958855,0.010379385209442218,0.0068846815834767644,0.0,0.002654867256637168
25-29,0.0,0.0,0.0,0.0,0.030044747238699453,0.004273504273504273,0.007389169563645308,0.01341212680822948,0.0025923487013642284,0.01307274192048092,0.0015220700152207,0.007693560799918302,0.021639564687560307,0.0018206584474613748,0.0016286644951140066
30-34,0.011713682987988704,0.005812314474094241,0.0,0.0,0.037296037296037296,0.007802332895197423,0.037542662116040966,0.018030513176144243,0.003732680655899063,0.008768789960510105,0.01411456138730685,0.00398936170212766,0.013961776855478551,0.009107468123861566,0.001808562358371501
35-39,0.0035971223021582736,0.00176678445229682,0.002148248318638322,0.006446604927002452,0.018943517373642187,0.015261379492177452,0.019430115626883196,0.0,0.003329789409324041,0.005447056217751724,0.009400705052878966,0.0011273957158962795,0.002290950744558992,0.0,0.0009515126199392986
40-44,0.014462809917355372,0.012145748987854251,0.0,0.021739130434782608,0.0,0.003389830508474576,0.004622496147919876,0.003826530612244898,0.0028089887640449437,0.003573759929413695,0.030596076343235485,0.0021365497848987694,0.0012484394506866417,0.0016339869281045752,0.005925925925925926
45-49,0.0,0.0,0.008547008547008548,0.007312614259597806,0.0,0.01998318236742786,0.012694300900829899,0.007317516005167212,0.004177714659902268,0.01580135440180587,0.013515173494861194,0.11170759099377679,0.009449771724578655,0.0019509464505183718,0.0055671537926235215
50-54,0.0,0.0,0.008849557522123894,0.03163794609671315,0.008656119172203871,0.0023854720017747262,0.02094972067039106,0.012948038416671184,0.036670840478458554,0.013856812933025403,0.02127659574468085,0.011781827055500294,0.04147465437788018,0.005004688896624805,0.0056457304163726185
55-59,0.01194957756797761,0.0,0.005378518344199044,0.0,0.016043150299654935,0.011555036597793241,0.005674381172897957,0.0014880727864082786,0.00245398773006135,0.10975609756097561,0.011290596458516556,0.010893246187363835,0.002599137608549368,0.0,0.004082586651491958
60-64,0.01563002176859937,0.0,0.0,0.0,0.009058038718941059,0.027664622409325552,0.016903945202270586,0.0025739247034428725,0.0012205600349597414,0.007903138268542848,0.03383134853532015,0.0022123893805309734,0.0,0.007533564730336743,0.004720860513163313
65-69,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.009668169505881301,0.0,0.0014006816920617774,0.0014306151645207437,0.00357942141577425,0.0,0.006605409348135623,0.01171875,0.01019115867721056
70+,0.0,0.006754759106381395,0.0,0.0,0.008805938741458876,0.005249167009817183,0.005520309229015444,0.002695114209217202,0.014605970365354232,0.011737997600914004,0.011610186749215112,0.008760930557957567,0.011901554877657872,0.02930264920647312,0.03822937625754527
