contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.010513370609658599,0.0,0.0,0.0,0.006741573033707865,0.004236538694030277,0.007088539048022195,0.004089979550102249,0.0,0.0032948929159802307,0.00375234521575985,0.0,0.0
5-9,0.0,0.0,0.0281092415971563,0.0,0.0521849051073583,0.0,0.0,0.0,0.02297621266326378,0.00218843655306363,0.0018741781710536148,0.0,0.0,0.0,0.0017094017094017094
10-14,0.011406844106463879,0.03098514035042305,0.15714285714285714,0.03690657822780444,0.0,0.005263157894736842,0.0,0.0036363636363636364,0.0020876826722338207,0.001201401924951487,0.002058754794787671,0.0016025641025641025,0.0,0.0,0.0017064846416382253
15-19,0.0,0.0,0.03720141329165221,0.58252427184466,0.008658008658008658,0.0,0.0,0.0074525981753876015,0.02268891160813788,0.020423711717729703,0.02070535573564202,0.0,0.0,0.0,0.001762114537444934
20-24,0.0,0.06015037593984962,0.0,0.008981553617025167,0.0078125,0.102645346251366,0.014314711380325954,0.05308891123919366,0.0,0.0,0.0,0.009033933700434404,0.003717472118959108,0.0,0.002586206896551724
25-29,0.0,0.0,0.005663821978854164,0.0,0.1056363412700842,0.008333333333333333,0.018819162704918697,0.019860694651432684,0.018491191945827743,0.009715651336838592,0.028007122863886767,0.00782220340978835,0.00361020340219496,0.003255922041080561,0.0047169811320754715
30-34,0.008311450344848165,0.0,0.0,0.0,0.015555555555555557,0.019871430878387122,0.04968944099378881,0.07987759675550618,0.009773110421294974,0.017862195619542224,0.010207586590423664,0.00620347394540943,0.01948016160977859,0.01746031746031746,0.0034381384862985555
35-39,0.005628517823639775,0.0,0.004452732878632159,0.00905339323927477,0.06216902359065474,0.022599070407520648,0.08607802372538632,0.009756097560975608,0.0034853870452737626,0.005154639175257732,0.001182033096926714,0.0044742729306487695,0.0,0.0,0.0013869625520110957
40-44,0.010822510822510822,0.03563941299790356,0.002937732495414116,0.03167420814479638,0.0,0.024179620034542316,0.01210287443267776,0.004005340453938584,0.014749262536873156,0.013364165580717974,0.0335483870967742,0.003330848207402791,0.0026702269692923898,0.0,0.00437636761487965
45-49,0.007299713720828125,0.003968253968253968,0.001976284584980237,0.0333303730078687,0.0,0.014851485148514853,0.02585853771901319,0.006924686134665776,0.015622669559979771,0.0273224043715847,0.014593691080486026,0.11734407859163273,0.0015408487702486115,0.0,0.005722460658082976
50-54,0.0,0.003484320557491289,0.003472222222222222,0.03464415137841899,0.0,0.0438943062894378,0.01515074269190652,0.0016280704333018882,0.040209324154316946,0.014962593516209476,0.006880733944954128,0.011200603893799373,0.04373522458628842,0.00779081656131248,0.005762140056803449
55-59,0.005777925891600377,0.0,0.002590135837230469,0.0,0.013963520307671059,0.011748246231634028,0.008823686191106832,0.0059056848391236825,0.0038257290747149954,0.11529411764705882,0.0107336067709074,0.014462809917355372,0.005256421472323554,0.003383555540208501,0.005142477053993037
60-64,0.005601002172237298,0.0,0.0,0.0,0.00489100417816427,0.004615384615384616,0.02358522040508473,0.0,0.0026105970307149606,0.001288659793814433,0.03567532143289802,0.0044742729306487695,0.0,0.025219660960648222,0.006934812760055478
65-69,0.0,0.0,0.0,0.0,0.0,0.0036496350364963507,0.018535262109846726,0.0,0.0,0.0,0.005572097731137195,0.0025252525252525255,0.0221125310831212,0.00974025974025974,0.016223095780980003
70+,0.0,0.006535373767883538,0.00591867293023774,0.006063179615122706,0.008578198946421147,0.015202776151074295,0.010494295388098785,0.003928505416791762,0.01078668489782725,0.012065452469609031,0.011849577858094746,0.011035377375140069,0.017483053015429583,0.046646284271494434,0.0377906976744186
