contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.003491182412045721,0.0,0.0,0.0,0.017283950617283952,0.002717298584739034,0.0030045000368681234,0.003913894324853229,0.0,0.010204081632653062,0.0019011406844106464,0.0,0.0
5-9,0.0,0.0,0.07094594594594596,0.0,0.012176477858383605,0.0,0.0,0.002528533454141815,0.061988990047380226,0.0,0.0,0.0,0.0,0.0,0.0035118525021949083
10-14,0.003787878787878788,0.07820453230054605,0.19078947368421054,0.034502072981642214,0.0,0.0,0.0,0.0,0.0021008403361344537,0.0022065676008183395,0.004949260274614768,0.0,0.0,0.0,0.0008718395815170008
15-19,0.0,0.0,0.03477769920815484,0.6544117647058824,0.010570229074922947,0.0,0.0,0.006308591224822974,0.08564711819779999,0.013744278978288754,0.011966690285047975,0.0,0.0,0.0,0.0
20-24,0.0,0.014035087719298248,0.0,0.01096523264536609,0.0070921985815602835,0.15488809625536848,0.002120348953636168,0.07300486148659724,0.0,0.0,0.005102040816326531,0.040422853038665794,0.0,0.0,0.0026408450704225356
25-29,0.0,0.0,0.0,0.0,0.15940139901362563,0.004098360655737705,0.010877352961008594,0.008746355685131196,0.029620322309601835,0.011249607340762656,0.02715074437872122,0.008793941158810253,0.0023775402344748974,0.0,0.0016142050040355124
30-34,0.0213087801022239,0.0,0.0,0.0,0.002304147465437788,0.011485557083153746,0.037542662116040966,0.12917115870756604,0.00785254374612153,0.008774996599076969,0.03365809751464847,0.005201560468140442,0.011745107948151586,0.009041591320072333,0.004390713905627518
35-39,0.0036101083032490976,0.00341296928327645,0.0,0.0076636571300437795,0.08549131730247328,0.009952295798638638,0.13919795431375523,0.004524886877828055,0.0011360117044865309,0.0053374220348674254,0.012881964330646523,0.0010893246187363833,0.004672897196261683,0.0,0.0046667375720997675
40-44,0.0045871559633027525,0.09615384615384616,0.002956247616183533,0.11956521739130435,0.0,0.03873239436619718,0.009724473257698542,0.0013054830287206264,0.0154320987654321,0.006315771162938629,0.0255106186028027,0.007618135326779674,0.004157892255402051,0.0,0.013646702047005306
45-49,0.006985440331673099,0.0,0.0036297640653357535,0.022429906542056077,0.0,0.017196312481333322,0.012703286055897507,0.007170234637782975,0.007383117584041374,0.017543859649122806,0.004611560380831282,0.11631774554272632,0.002941448082934619,0.004138730102920613,0.006456241032998565
50-54,0.0,0.0,0.008347245409015025,0.02002263738073385,0.008229201730037354,0.04255214273660777,0.0499574674607166,0.017742942481140576,0.030575679534706243,0.004728132387706856,0.022371364653243846,0.011305611487843096,0.0023228803716608595,0.0,0.0034483687486765893
55-59,0.017893882735721577,0.0,0.0,0.0,0.062480570260579925,0.013207708962275548,0.007398586288720007,0.0014378219624663867,0.00875,0.1142857142857143,0.010834236186348862,0.025210084033613446,0.0052800458384913,0.0018204999917426172,0.005887146174771635
60-64,0.0028377701119795436,0.0,0.0,0.0,0.0,0.00303951367781155,0.014220157162331474,0.0052500847338916535,0.0040650406504065045,0.0024600246002460025,0.0018948000083015802,0.00449438202247191,0.0,0.008460789599280625,0.00340192922529596
65-69,0.0,0.0,0.0,0.0,0.0,0.0,0.00959823699589301,0.0,0.0,0.0030349013657056147,0.0,0.001358695652173913,0.007418397626112759,0.0038461538461538464,0.008764940239043825
70+,0.0,0.013426492200919649,0.0030238381317518005,0.0,0.008759428501627227,0.0052025642357187265,0.013401859428848752,0.013218312061963233,0.03363581120907012,0.01361258276296815,0.007091412837599798,0.012633382515683125,0.008576454917884871,0.025201841839116654,0.03819095477386935
