contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.026378896882494004,0.005424805102506036,0.013740860308473794,0.007547169811320754,0.0,0.004942339373970346,0.009191176470588236,0.0,0.0
5-9,0.0,0.0,0.0967741935483871,0.0,0.025330629121454944,0.0,0.002352941176470588,0.005263661115904455,0.008851517114316991,0.0030752008069072564,0.0,0.0,0.0,0.0,0.001751313485113835
10-14,0.0,0.10667530673254205,0.25,0.04285187374363422,0.0,0.0025,0.0,0.0,0.0,0.007558375875982536,0.007092320043817972,0.0015624999999999999,0.0,0.0,0.0
15-19,0.0,0.0,0.043194203906382365,0.8095238095238095,0.014520061270611088,0.0,0.0,0.005023457053334235,0.07393224965364718,0.008708742321587044,0.02057198997049616,0.0,0.0,0.0,0.0026292725679228747
20-24,0.0,0.029197080291970805,0.0,0.01506266786922791,0.034013605442176874,0.20210155839335953,0.016543486667471408,0.0068610634648370505,0.0,0.0,0.005415162454873646,0.023991864369702874,0.0,0.0,0.0025817555938037868
25-29,0.0,0.0,0.0026903154399557276,0.0,0.2079906198706272,0.008064516129032258,0.016095576410406875,0.022550823555004252,0.04659723561771185,0.009926967981999978,0.04796620303070867,0.00543132670042809,0.0011622744979825279,0.0017222444773283274,0.0023752969121140144
30-34,0.03252162225262331,0.0029471853392171975,0.0,0.0,0.017977528089887642,0.016995556024583525,0.06375838926174497,0.13752152813359816,0.002656260686050978,0.00487140960639695,0.0262654065991588,0.006361323155216285,0.017678609694122476,0.01936619718309859,0.003295978488365667
35-39,0.007207207207207207,0.007104795737122558,0.0,0.006102480108835062,0.00803455197038455,0.02566011200571745,0.14819651369417605,0.0045871559633027525,0.002332935564709605,0.004118975125529522,0.010351166245518836,0.0032467532467532465,0.0011614401858304297,0.0,0.0025541708415626227
40-44,0.02097902097902098,0.013729977116704805,0.0,0.10321100917431192,0.0,0.06093189964157706,0.003289473684210526,0.002680965147453083,0.0064516129032258064,0.009307723116786527,0.03324176216371052,0.007799328601600866,0.00411270951677402,0.0017241379310344827,0.005283018867924529
45-49,0.013470037771641331,0.0055762081784386614,0.012433392539964476,0.014212187971490547,0.0,0.015174506828528073,0.007052186177715092,0.0055333863285127755,0.010880700462073208,0.0121654501216545,0.005961766629253155,0.22189647787071817,0.009309562898147954,0.0,0.0091164095371669
50-54,0.0,0.0,0.011961653386602872,0.03442100410119263,0.008734242991447589,0.07517527657530679,0.038984770156688144,0.014257153846485383,0.03984181971090545,0.006112469437652811,0.0171990171990172,0.012630788360106619,0.05048076923076923,0.0029542097488921715,0.0035161744022503515
55-59,0.008666888837400565,0.0,0.0025253824412997073,0.0,0.03708361124336417,0.008157364376542605,0.009048207468234232,0.0042854563686498155,0.008958114070790026,0.21802002224694106,0.01210416123535912,0.020491803278688527,0.002573516317775059,0.0,0.0048769101873217145
60-64,0.01371936653401875,0.0,0.0,0.0,0.0,0.0014858841010401188,0.021404027052940103,0.0013048991092367173,0.004020866906129939,0.0077858772622404595,0.0411777391227174,0.002190580503833516,0.0,0.03117953139809718,0.003317093037879881
65-69,0.0,0.0,0.0,0.0,0.0,0.0019305019305019303,0.020558477340146895,0.0,0.001477960681968634,0.0,0.002112890902970038,0.0,0.027338129496402876,0.0,0.009710425442043893
70+,0.0,0.006695610602822887,0.0,0.009046944167174767,0.00856343440434469,0.00765555473640796,0.010060377726950306,0.007234567344259533,0.013021360372886558,0.019221382642240055,0.007230852067351359,0.010465490419635626,0.008362578117812425,0.027920396432460033,0.0374384236453202
