"V1","V2"
0,2142834
0,2523317
0,2823644
417343,2448773
425676,2497666
1529619,1471726
1636799,1574850
1951381,1461491
2211658,1656426
2600171,2009699
2553114,2254123
1860279,2874856
1592402,2460882
0,3527442
0,10523962
