"V1","V2"
872911,1269923
2449065,74252
517180,2306464
247139,2618977
252073,2671269
905797,2095548
969266,2242383
1248899,2163973
1415479,2452605
1664130,2945740
1743311,3063926
1270230,3464905
1087320,2965964
0,3527442
0,10523962
