"V1","V2"
872911,1269923
2449065,74252
2769730,53914
2667344,198772
1523371,1399971
1909353,1091992
1771884,1439765
1951381,1461491
2211658,1656426
2600171,2009699
2553114,2254123
1860279,2874856
1592402,2460882
0,3527442
0,10523962
