contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.010795425764429127,0.0,0.0019083969465648856,0.003865816856769326,0.002339951311923793,0.00308641975308642,0.007736943907156671
10-19,0.011852810739923073,0.06944444444444445,0.0072992700729927005,0.0,0.0038377127623795333,0.007302636945672399,0.0,0.0009990009990009988
20-29,0.0,0.007712924915905364,0.054455445544554455,0.046801821124608595,0.0,0.020738185220503705,0.01879194630872483,0.009725906277630416
30-39,0.0024634743252213813,0.0,0.052073987491135815,0.11694510739856802,0.004964606683641751,0.012417541525882208,0.0031185031185031187,0.006707724111523304
40-49,0.0064516129032258064,0.005833348433863134,0.0,0.006418485237483953,0.002777777777777778,0.002011118853846906,0.004429678848283499,0.016291698991466253
50-59,0.004225816107766245,0.01201162896825467,0.032281468063285156,0.017372409857648437,0.002176278563656148,0.026833631484794274,0.0029756490762433497,0.006560057359222877
60-69,0.004357446858290283,0.0,0.022867970703464493,0.003410703484510286,0.003747333315599344,0.0023262428382546003,0.022099447513812157,0.004755434782608695
70+,0.014672756779702279,0.0017255463060432833,0.01589831528180415,0.00985458034826292,0.018513205477189747,0.00688884057017534,0.00638786002228877,0.07642626480086114
