contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.023811084313927294,0.0,0.016347943504354572,0.012641655693050447,0.001593460924078845,0.005925925925925926,0.003929273084479371
10-19,0.02614332051777633,0.15789473684210528,0.003875968992248062,0.0,0.008183203385565902,0.0024662023201216005,0.0,0.0020512820512820513
20-29,0.0,0.004095622920461376,0.19230769230769232,0.01823904134650302,0.0,0.013192612137203167,0.002226987449995576,0.0009250693802035152
30-39,0.021102915284809103,0.0,0.020293646445922364,0.029268292682926828,0.013044668080014185,0.007245796767051521,0.013280183058368282,0.010239383883796044
40-49,0.021097499444291155,0.012438522528605417,0.0,0.016864782012909,0.002695417789757412,0.0009758279971939317,0.007551240560949299,0.02047244094488189
50-59,0.0028776978417266188,0.004056494585494132,0.020535880206015832,0.010137026795527469,0.0010559662090813093,0.024305555555555552,0.0031434015583395253,0.007973807017304163
60-69,0.008366297967917342,0.0,0.0027100271002710027,0.014524521833363646,0.006388051210329949,0.002457384985758202,0.01798561151079137,0.010309278350515464
70+,0.007451684926430333,0.0035431217484088754,0.001512151592273189,0.015043080115091584,0.023264025810368853,0.00837344588189103,0.013848203170558277,0.05895439377085651
