contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.024144750412815642,0.0,0.011054490115407416,0.008554098154079731,0.0022259708755263587,0.001445086705202312,0.0
10-19,0.026509668377207994,0.0746268656716418,0.0,0.0022727272727272726,0.005123415545787427,0.0034841632475449166,0.0,0.0010245901639344263
20-29,0.0,0.0,0.29381443298969073,0.032416401793718366,0.0,0.020779169028224832,0.020665147606468603,0.0009066183136899366
30-39,0.01426980515072513,0.0026720530503918016,0.0360680687407298,0.15817694369973193,0.0010204297114925923,0.01243607771136334,0.007478632478632478,0.0028710379881262127
40-49,0.014275826318487676,0.007787625051833792,0.0,0.0013192612137203168,0.007792207792207792,0.0019373356673850174,0.005274261603375528,0.014683153013910355
50-59,0.0040199740624022725,0.005730871807770714,0.03234526426656881,0.01739834238307663,0.0020964360587002098,0.015817223198594025,0.0049101860106363455,0.00602472675250978
60-69,0.002040191881627242,0.0,0.025147474470384474,0.008179372245260778,0.004461816962007131,0.003838586052680967,0.03197158081705151,0.007804957620276691
70+,0.0,0.0017697457503579167,0.0014819908170873232,0.004217954415909879,0.016685321091552737,0.006326679753578666,0.0104842099697293,0.039603960396039604
