contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.004818996615364843,0.0,0.010838582105340866,0.00939099260149667,0.0055267926455947105,0.0,0.0
10-19,0.005291005291005291,0.06060606060606061,0.00819672131147541,0.004067153180288335,0.006315789473684211,0.0034129692832764505,0.0,0.0019762845849802375
20-29,0.0,0.008661235356385532,0.03932584269662921,0.04159186479701679,0.0,0.02680374203018781,0.002717391304347826,0.005338078291814947
30-39,0.013991098018875029,0.004781765587192072,0.04627713612695403,0.2802056555269923,0.006951092033361866,0.019647019600018772,0.0188264591704158,0.0060239791028714705
40-49,0.015672508886659147,0.009600041200603414,0.0,0.008986710215641514,0.0024449877750611247,0.0030658969070885968,0.009307135470527405,0.012546125461254613
50-59,0.00998106638673462,0.005613769521304348,0.041723233403690545,0.027486606447932074,0.00331767846764193,0.0423076923076923,0.00463821892393321,0.002663401187046014
60-69,0.0,0.0,0.0033068008878262903,0.020590478012524577,0.007873468938954464,0.003625973116318575,0.007168458781362007,0.010298469160270805
70+,0.0,0.003413580735868235,0.008725814259327318,0.008850063762092082,0.014256892343056016,0.002796888067781966,0.013833683447884403,0.02854122621564482
