contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.01866185540455933,0.0,0.016137840426529056,0.01103591652227904,0.007138105686603669,0.0030534351145038168,0.0018198362147406732
10-19,0.020489737504831917,0.26666666666666666,0.007117437722419928,0.012503747952913464,0.00800413985415308,0.005983356405836291,0.0,0.0009532888465204957
20-29,0.0,0.007520787996292062,0.15048543689320384,0.03110664108558929,0.0,0.022475372792858498,0.0011165195231635427,0.0033898305084745766
30-39,0.02083170151096357,0.014700698257921575,0.03461076513389146,0.15176151761517614,0.00678288000698474,0.01768020157906027,0.020944000928124314,0.007984127180276409
40-49,0.018417701632549636,0.012166344792749717,0.0,0.008769237518030578,0.0026178010471204186,0.005160919179528147,0.0043859649122807015,0.016224188790560472
50-59,0.01289100411434971,0.009841630861072176,0.03498560849508447,0.02473498538797572,0.005584750875208081,0.028409090909090908,0.005781343221248285,0.003328894806924101
60-69,0.004310878723926875,0.0,0.0013586956521739128,0.02290643114040831,0.0037103530526164555,0.004519621742796111,0.011320754716981131,0.00797872340425532
70+,0.0034512353298935755,0.0016465889917534097,0.005541138546601076,0.011729794115058754,0.018436489707899524,0.0034957355315718415,0.010717625326150157,0.058521560574948665
