contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.021789243069472615,0.0,0.01321804825930059,0.013076650586908836,0.0022748574979756936,0.0028328611898016994,0.0
10-19,0.023923444976076555,0.09859154929577463,0.004032258064516129,0.008170219412941247,0.010683760683760684,0.008116883116883116,0.0,0.0010183299389002038
20-29,0.0,0.00426076900596385,0.07344632768361582,0.04198373159950334,0.0,0.034030014744723495,0.04137148774368909,0.003676470588235294
30-39,0.017062656998553867,0.009605754270076788,0.04671314623255537,0.010471204188481676,0.0019858426734567004,0.016644628272069615,0.017894736842105265,0.0031260727782934363
40-49,0.021823456925991275,0.016239385934069164,0.0,0.0025673940949935813,0.012594458438287154,0.014539741457930588,0.0072538860103626935,0.006880733944954129
50-59,0.0041082604620157935,0.013350929137517648,0.05297179201045983,0.023286195876043407,0.015733792955831778,0.029357798165137616,0.002946240145570684,0.005396167040050951
60-69,0.003999469637637539,0.0,0.0503450762437614,0.01957145431076534,0.006136501007228873,0.002303252118379667,0.01408450704225352,0.01130645303760529
70+,0.0,0.0017589326398669317,0.006009690703115138,0.004592636020209572,0.007818978328996588,0.005666617286003369,0.01518768370390398,0.059275521405049394
