contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.005347593582887701,0.0,0.011325212322315353,0.015532126128416101,0.0,0.0015105740181268882,0.0019436345966958213
10-19,0.005871377010515421,0.16666666666666669,0.0,0.0,0.01416572747520842,0.0025604520903173304,0.0,0.0029702970297029703
20-29,0.0,0.0,0.10500000000000001,0.016345868746609163,0.0,0.011803439452692632,0.037973331184516956,0.009769094138543516
30-39,0.014619269766661256,0.0,0.018187210330478182,0.1421188630490956,0.0020012567174938806,0.009822079068005155,0.010389700670595942,0.007372940366167407
40-49,0.025921369029458755,0.02153199817143243,0.0,0.0025873221216041395,0.0051813471502590676,0.017953157476742594,0.004232804232804233,0.013719512195121951
50-59,0.0,0.004211519856277347,0.01837346661135484,0.013741301598868012,0.01942752995022752,0.029411764705882353,0.004385762326437456,0.010041745136410641
60-69,0.0021326477070786275,0.0,0.04620985026108313,0.011363204375190684,0.003580785168239373,0.0034286126961725156,0.03041144901610018,0.011919218368156768
70+,0.003686013243491778,0.005130510452522752,0.015968911708455144,0.010831875615833507,0.015590279960865146,0.010545026895810756,0.016010796486859047,0.019438444924406047
