contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.0045312953248953,0.0,0.013017774800826339,0.005750495324368959,0.00933125972006221,0.004545454545454546,0.0
10-19,0.004975124378109453,0.13846153846153847,0.0,0.002188183807439825,0.0044444444444444444,0.001748251748251748,0.0,0.0009587727708533077
20-29,0.0,0.0,0.198019801980198,0.004880061007685008,0.0,0.017326989171854983,0.01766082419979114,0.002542372881355932
30-39,0.016804131892515173,0.0025726550156945135,0.005429793750836527,0.14540816326530612,0.012699393316032077,0.017163037161522284,0.03128527693096891,0.00464331489164643
40-49,0.009596928982725527,0.0067555845485727725,0.0,0.016418393987288147,0.005194805194805195,0.004143987055348221,0.013201320132013201,0.008070432868672046
50-59,0.01685171286678184,0.0028755847373114927,0.02697153302648237,0.024011461153606493,0.004484304932735426,0.02564102564102564,0.006902678106770791,0.005355066040474564
60-69,0.006417330827663871,0.0,0.021491505124849722,0.034216673508905525,0.011167795326687154,0.005396236282984064,0.0057251908396946565,0.00881048363886214
70+,0.0,0.0016560612198938895,0.004155853909950807,0.006821675865202512,0.009170902437238355,0.00562345634733284,0.011834908643798723,0.05828220858895706
