contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.024437691795872747,0.0,0.01349564272978906,0.015026045762587826,0.004619124546651717,0.001483679525222552,0.0
10-19,0.02683130263666518,0.10714285714285714,0.0,0.006029262040317824,0.008835487713400866,0.002601883353914698,0.0,0.0029761904761904765
20-29,0.0,0.0,0.14358974358974355,0.016173392151319375,0.0,0.014058675906766965,0.03761022685455338,0.0
30-39,0.017420992748410673,0.007088623531634806,0.017995304463359868,0.02295918367346939,0.0020626285901636926,0.01692280462506583,0.004291845493562232,0.004464285714285714
40-49,0.02507677790183469,0.013429998962044979,0.0,0.0026666666666666666,0.00558659217877095,0.013965454594223159,0.00556792873051225,0.013740458015267175
50-59,0.008341870539593085,0.004279667426767272,0.02188401214816381,0.02367537062588285,0.015112343761774878,0.028469750889679717,0.001160767043575473,0.007170950601264323
60-69,0.002094677718228563,0.0,0.045767987611866595,0.004693986769812439,0.004710247750537595,0.0009074410163339383,0.01111111111111111,0.012548420940092642
70+,0.0,0.0051406900367539496,0.0,0.006558657085113787,0.015614081915003873,0.00753035114232064,0.016855989016864806,0.06407563025210083
