contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.014619589225947725,0.0,0.006760674357970519,0.0033105061480621298,0.001690771514862286,0.005780346820809248,0.0019011406844106464
10-19,0.01605154145578437,0.1904761904761905,0.0,0.001857106325395617,0.011886327549050332,0.007836673320951164,0.0,0.0010152284263959391
20-29,0.0,0.0,0.01675977653631285,0.035329017518472484,0.0,0.03165459562904145,0.048582995951417,0.009082652134423252
30-39,0.00872708779587049,0.0021834061135371182,0.0393087869686276,0.13164556962025317,0.005743705851322165,0.023759935670018547,0.0215854897270298,0.005315110098709187
40-49,0.0055248618784530384,0.018067295414168842,0.0,0.007425742574257425,0.004842615012106538,0.0030364799858052308,0.00512820512820513,0.01048689138576779
50-59,0.0030534351145038168,0.012890030406409349,0.04927416777263637,0.0332406652146547,0.0032858457318116776,0.04380952380952381,0.00772385134323906,0.004804611658676385
60-69,0.008160767526508968,0.0,0.05912078024550971,0.023608026745273847,0.004338258953828472,0.006038196511275594,0.012455516014234877,0.010265058238255347
70+,0.0036054255014762735,0.001753575484618606,0.014846828984989261,0.0078086365295811835,0.011916864848987558,0.005045413767868063,0.013788803367974386,0.03796095444685466
