contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.012883930231086351,0.0,0.021169913900683856,0.010677881062586781,0.003103763390625622,0.001497005988023952,0.0
10-19,0.014145878999846501,0.16666666666666669,0.003816793893129771,0.0019598034493806277,0.010103887013769975,0.002610331027141694,0.0,0.0056603773584905665
20-29,0.0,0.004033094326255858,0.15760869565217392,0.04034273122736803,0.0,0.022353658298311256,0.02084635494943512,0.0017152658662092622
30-39,0.027327406625416516,0.002304147465437788,0.044887289229598025,0.41853932584269665,0.002093330774861664,0.011347153928761521,0.012813847494377166,0.005501749926424222
40-49,0.017820180778058525,0.015357974172918645,0.0,0.0027063599458728013,0.010443864229765013,0.0010033758016749763,0.0032967032967032967,0.007326007326007326
50-59,0.005605216341026196,0.0042935624508801526,0.034796145312709144,0.01587491439890843,0.0010857763300760044,0.026022304832713755,0.004804376646085151,0.011622310191271775
60-69,0.002113492188751574,0.0,0.025367986180142122,0.01401449113189716,0.002788880756032589,0.0037558685446009393,0.028462998102466792,0.010249630782731523
70+,0.0,0.00977701048499619,0.002803835113631762,0.008082836414344492,0.008324968379590994,0.012204808217451311,0.013768080041740014,0.02545824847250509
