contacts,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.0,0.02017497881573982,0.0,0.0,0.010608986174690797,0.0031738785274620443,0.0029197080291970805,0.0019436345966958213
10-19,0.022151067572791262,0.21917808219178084,0.0,0.0021598272138228943,0.016979804685915652,0.004172742260350854,0.0,0.0
20-29,0.0,0.0,0.03608247422680412,0.02377794284968123,0.0,0.0194328734986034,0.034969698003974405,0.004500450045004501
30-39,0.0,0.002539316073806464,0.026456498246564715,0.2512820512820513,0.004618452399248398,0.010010159669011183,0.021628927138508575,0.007651109410864575
40-49,0.017705202970214964,0.02580941388913995,0.0,0.005970960125053338,0.010582010582010583,0.005131534774223613,0.006309148264984227,0.025482625482625483
50-59,0.005731840204151788,0.006863470303174957,0.030249594096729223,0.01400443043802987,0.005552953325676029,0.02536231884057971,0.0038037024729068187,0.006774862539213566
60-69,0.004122081115579713,0.0,0.04255472085361401,0.023655534195181377,0.005337290195561842,0.0029735816992309816,0.017452006980802792,0.012565264458133036
70+,0.003686013243491778,0.0,0.007356597080320961,0.01124054466002669,0.028957390012253,0.007114411561033105,0.016878614505478052,0.0316248636859324
